Country Name,Country Code,elec_use_capita_2014,elec_access_2014,pop_2014,per_industry,per_residential,per_commercial,Industry_total_electricity(GWh),Residential_total_electricity(GWh),Commercial_total_electricity(GWh)
El Salvador,SLV,937.073876813942,95.125416,6295128,0.4836601307189543,0.36928104575163395,0.13071895424836602,2714.0338133866658,2072.201492653332,733.5226522666665
Eritrea,ERI,89.297604335072,44.6163024902344,3213972,0.42857142857142855,0.35714285714285715,0.21428571428571427,54.87805206298831,45.731710052490264,27.439026031494155
Estonia,EST,6732.36747315611,100,1314545,0.3665893271461717,0.2923433874709977,0.2784222737819025,3244.315545243619,2587.238979118329,2464.037122969836
Ethiopia,ETH,69.1987531624304,27.2,98094253,0.38524590163934425,0.3688524590163935,0.2377049180327869,711.29337704918,681.0255737704917,438.88314754098343
Finland,FIN,15249.9893802302,100,5461512,0.566840811309158,0.2304855562384757,0.17547633681622618,47211.03749231704,19196.681007990115,14615.073140749812
France,FRA,6939.52147366929,100,66316100,0.3498307952622673,0.33442107807590044,0.2761965192168238,160992.8316412859,153901.24897268554,127106.19053662076
Gabon,GAB,1167.85221361079,88.8036117553711,1883800,0.27058823529411763,0.5176470588235295,0.15294117647058825,528.6426770378575,1011.3164256376408,298.79803484748476
Georgia,GEO,2693.97276022513,100,3719414,0.1423290203327172,0.4232902033271719,0.3512014787430684,1426.1367837338253,4241.367837338259,3519.0388170055426
Germany,DEU,7035.48297471676,100,80982500,0.4376578700473911,0.2699367316991027,0.2594962592316389,249356.0091173711,153796.72282229547,147848.25319348546
Ghana,GHA,351.301578961752,78.3,27224472,0.676416819012797,0.23217550274223034,0.09140767824497258,5065.423107861063,1738.6722559415,684.5166361974409
Gibraltar,GIB,5693.10600444774,100,33725,0.3445378151260504,0.3403361344537815,0.29411764705882354,66.15126050420169,65.34453781512606,56.47058823529412
Greece,GRC,5062.60642155232,100,10892413,0.3140161725067385,0.3293800539083558,0.2840970350404313,17316.107816711577,18163.33369272236,15666.246900269536
Guatemala,GTM,577.897354201025,85.494371,15923243,0.5170212765957447,0.2617021276595745,0.1851063829787234,4067.50566110438,2058.8608901886373,1456.2674589139137
Haiti,HTI,39.0558050576888,39.4733581542969,10549008,0.36,0.4,0.24,58.54688481445311,65.05209423828124,39.03125654296874
Honduras,HND,619.836394903786,88.653773,8955589,0.28,0.41454545454545455,0.3054545454545455,1377.9278629844005,2040.0490438989825,1503.1940323466185
"Hong Kong SAR, China",HKG,6083.2699356802,100,7229500,0.13585389298301825,0.2467157962191605,0.6174303107978212,5974.718359500162,10850.314001922463,27153.967638577382
Hungary,HUN,3965.95823348335,100,9866468,0.2990912682734097,0.33267483208218096,0.3018569735282497,11703.441327538521,13017.56617937574,11811.66337416041
Iceland,ISL,53832.4790919587,100,327386,0.7592592592592593,0.08754208754208755,0.10942760942760944,13381.18518518518,1542.8417508417501,1928.552188552188
India,IND,804.514228089279,83.6201095581055,1295604184,0.4210461234079387,0.20885371584023746,0.06776307654259922,366983.44763485226,182036.72336424832,59062.24061788516
Indonesia,IDN,811.906904947585,97.01,255129004,0.4297047157338034,0.3631555751432349,0.18422212428382548,86348.08153261349,72975.19916192156,37018.97239039225
"Iran, Islamic Rep.",IRN,3022.12256298599,100,77465753,0.34892883526225066,0.3315685791676927,0.18271361733563166,81688.07855208064,77623.8516375276,42775.267668062
Iraq,IRQ,1328.23041622952,99.7800903320313,34411951,0.4126794258373206,0.0,0.0,18820.85841074304,0.0,0.0
Ireland,IRL,5672.06413410796,100,4657740,0.3807339449541284,0.3142201834862385,0.27580275229357804,10058.610091743121,8301.383027522937,7286.432912844041
